Information listing created by	
bruno


Date	
04-Dec-2021 19:11:18


Current work part	
C:\Users\bruno\Desktop\proj mcomp\62\62_quad_fem.fem


Node name	
laptop-tiemtdga


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Mesh           | Connected Nodes
  117                  | 2d_mesh(5)     | 140 107 109 141
  118                  | 2d_mesh(5)     | 137 138 140 143
  119                  | 2d_mesh(5)     | 136 135 137 143
  120                  | 2d_mesh(5)     | 142 147 166 148
  121                  | 2d_mesh(5)     | 149 150 136 143
  122                  | 2d_mesh(5)     | 151 152 110 145
  123                  | 2d_mesh(5)     | 136 150 151 145
  124                  | 2d_mesh(5)     | 145 110 111 144
  125                  | 2d_mesh(5)     | 135 136 145 144
  126                  | 2d_mesh(5)     | 112 81 80 146
  127                  | 2d_mesh(5)     | 144 111 112 146
  128                  | 2d_mesh(5)     | 146 80 79 134
  129                  | 2d_mesh(5)     | 135 144 146 134
  130                  | 2d_mesh(5)     | 118 165 170 164
  131                  | 2d_mesh(5)     | 117 118 164 168
  132                  | 2d_mesh(5)     | 121 117 168 156
  133                  | 2d_mesh(5)     | 143 140 141 142
  134                  | 2d_mesh(5)     | 142 148 149 143
  135                  | 2d_mesh(6)     | 172 179 170 165
  136                  | 2d_mesh(6)     | 172 165 169 174
  137                  | 2d_mesh(6)     | 171 178 179 172
  138                  | 2d_mesh(6)     | 171 172 174 175
  139                  | 2d_mesh(6)     | 173 176 181 180
  140                  | 2d_mesh(6)     | 173 180 182 177
  141                  | 2d_mesh(6)     | 171 175 176 173
  142                  | 2d_mesh(6)     | 171 173 177 178
 
------------------------------------------------------------
 
