     Node ID      X Coord      Y Coord       Scalar
           1   0.0000e+00   0.0000e+00   5.0000e+00
           2  -5.0000e+02   0.0000e+00   1.0000e+01
           5   5.0000e+02   0.0000e+00   0.0000e+00
