Information listing created by	
bruno


Date	
04-Dec-2021 18:43:48


Current work part	
C:\Users\bruno\Desktop\proj mcomp\62\62_new_fem.fem


Node name	
laptop-tiemtdga


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Mesh           | Connected Nodes
  127                  | 2d_mesh(3)     | 44 37 64
  128                  | 2d_mesh(3)     | 63 77 78
  129                  | 2d_mesh(3)     | 63 64 77
  130                  | 2d_mesh(3)     | 76 36 75
  131                  | 2d_mesh(3)     | 64 76 77
  132                  | 2d_mesh(3)     | 64 36 76
  133                  | 2d_mesh(4)     | 98 97 94
  134                  | 2d_mesh(4)     | 95 98 94
  135                  | 2d_mesh(4)     | 96 98 95
  136                  | 2d_mesh(4)     | 96 99 98
  137                  | 2d_mesh(4)     | 11 105 19
  138                  | 2d_mesh(4)     | 11 94 105
  139                  | 2d_mesh(4)     | 94 106 105
  140                  | 2d_mesh(4)     | 94 97 106
  141                  | 2d_mesh(4)     | 97 108 106
  142                  | 2d_mesh(4)     | 97 104 108
  143                  | 2d_mesh(4)     | 103 104 97
  144                  | 2d_mesh(4)     | 98 103 97
  145                  | 2d_mesh(4)     | 99 103 98
  146                  | 2d_mesh(4)     | 99 102 103
  147                  | 2d_mesh(4)     | 107 102 99
  148                  | 2d_mesh(4)     | 101 107 99
  149                  | 2d_mesh(4)     | 101 99 96
  150                  | 2d_mesh(4)     | 100 101 96
  151                  | 2d_mesh(4)     | 100 96 9
  152                  | 2d_mesh(4)     | 17 100 9
  153                  | 2d_mesh(4)     | 9 95 10
  154                  | 2d_mesh(4)     | 9 96 95
  155                  | 2d_mesh(4)     | 95 94 11
  156                  | 2d_mesh(4)     | 10 95 11
  157                  | 2d_mesh(5)     | 105 106 111
  158                  | 2d_mesh(5)     | 141 112 140
  159                  | 2d_mesh(5)     | 113 138 139
  160                  | 2d_mesh(5)     | 138 157 139
  161                  | 2d_mesh(5)     | 106 108 113
  162                  | 2d_mesh(5)     | 108 138 113
  163                  | 2d_mesh(5)     | 106 113 111
  164                  | 2d_mesh(5)     | 111 113 112
  165                  | 2d_mesh(5)     | 139 140 113
  166                  | 2d_mesh(5)     | 140 112 113
  167                  | 2d_mesh(5)     | 74 116 75
  168                  | 2d_mesh(5)     | 143 110 142
  169                  | 2d_mesh(5)     | 142 110 114
  170                  | 2d_mesh(5)     | 115 109 116
  171                  | 2d_mesh(5)     | 109 75 116
  172                  | 2d_mesh(5)     | 110 109 114
