"Model","Solver","Nodes","Elements","Total Time","Assembly","Solve","Iterations","Peak RAM","Peak VRAM","Status","Date"
"Elbow 90°","GPU","1 044 857","346 621","4.16s","<0.01s","3.35s","8110","27 MB","2.63 GB","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","1 044 857","346 621","4.15s","<0.01s","3.35s","8112","27 MB","863 MB","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","1 044 857","346 621","4.15s","<0.01s","3.34s","8110","27 MB","2.63 GB","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","623 153","206 435","2.76s","<0.01s","2.21s","6226","16 MB","514 MB","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","623 153","206 435","2.78s","<0.01s","2.23s","6226","16 MB","514 MB","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","623 153","206 435","2.76s","<0.01s","2.22s","6229","16 MB","514 MB","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","161 984","53 344","1.28s","<0.01s","1.04s","3134","4 MB","133 MB","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","161 984","53 344","1.28s","<0.01s","1.04s","3132","4 MB","414 MB","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","161 984","53 344","1.28s","<0.01s","1.04s","3132","4 MB","132 MB","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","411","111","67ms","<0.01s","45ms","141","0 MB","-","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","411","111","68ms","<0.01s","45ms","141","0 MB","-","✓","Jan 16, 06:26 PM"
"Elbow 90°","GPU","411","111","74ms","<0.01s","45ms","141","0 MB","-","✓","Jan 16, 06:26 PM"
"Backward-Facing Step","GPU","1 283 215","426 686","5.67s","<0.01s","4.93s","10 847","33 MB","1.92 GB","✓","Jan 16, 06:26 PM"
"Backward-Facing Step","GPU","1 283 215","426 686","5.67s","<0.01s","4.93s","10 853","33 MB","1.92 GB","✓","Jan 16, 06:26 PM"
"Backward-Facing Step","GPU","1 283 215","426 686","5.67s","<0.01s","4.93s","10 853","33 MB","1.11 GB","✓","Jan 16, 06:26 PM"
"Backward-Facing Step","GPU","766 088","254 551","3.61s","<0.01s","3.11s","8102","19 MB","676 MB","✓","Jan 16, 06:26 PM"
"Backward-Facing Step","GPU","766 088","254 551","3.61s","<0.01s","3.11s","8102","19 MB","677 MB","✓","Jan 16, 06:26 PM"
"Backward-Facing Step","GPU","766 088","254 551","3.58s","<0.01s","3.09s","8099","19 MB","676 MB","✓","Jan 16, 06:26 PM"
"Backward-Facing Step","GPU","195 362","64 713","1.54s","<0.01s","1.35s","3992","5 MB","161 MB","✓","Jan 16, 06:25 PM"
"Backward-Facing Step","GPU","195 362","64 713","1.54s","<0.01s","1.36s","3993","5 MB","161 MB","✓","Jan 16, 06:25 PM"
"Backward-Facing Step","GPU","195 362","64 713","1.54s","<0.01s","1.35s","3990","5 MB","161 MB","✓","Jan 16, 06:25 PM"
"Backward-Facing Step","GPU","287","82","68ms","<0.01s","44ms","137","0 MB","-","✓","Jan 16, 06:25 PM"
"Backward-Facing Step","GPU","287","82","65ms","<0.01s","43ms","137","0 MB","-","✓","Jan 16, 06:25 PM"
