"Model","Solver","Nodes","Elements","Total Time","Assembly","Solve","Iterations","Peak RAM","Peak VRAM","Status","Date"
"Elbow 90°","GPU","1 044 857","346 621","4.45s","<0.01s","3.79s","8112","-","2.39 GB","✓","Jan 9, 07:07 AM"
"Elbow 90°","GPU","1 044 857","346 621","4.45s","<0.01s","3.79s","8115","-","2.47 GB","✓","Jan 9, 07:07 AM"
"Elbow 90°","GPU","1 044 857","346 621","4.38s","<0.01s","3.73s","8112","-","2.47 GB","✓","Jan 9, 07:07 AM"
"Elbow 90°","GPU","623 153","206 435","2.65s","<0.01s","2.21s","6228","-","1.57 GB","✓","Jan 9, 07:07 AM"
"Elbow 90°","GPU","623 153","206 435","2.65s","<0.01s","2.21s","6225","-","951 MB","✓","Jan 9, 07:07 AM"
"Elbow 90°","GPU","623 153","206 435","2.68s","<0.01s","2.23s","6228","-","1.32 GB","✓","Jan 9, 07:07 AM"
"Backward-Facing Step","GPU","1 283 215","426 686","6.58s","<0.01s","5.94s","10 848","-","1.11 GB","✓","Jan 9, 07:07 AM"
"Backward-Facing Step","GPU","1 283 215","426 686","6.57s","<0.01s","5.93s","10 850","-","1.12 GB","✓","Jan 9, 07:07 AM"
"Backward-Facing Step","GPU","1 283 215","426 686","6.56s","<0.01s","5.91s","10 843","-","2.43 GB","✓","Jan 9, 07:07 AM"
"Backward-Facing Step","GPU","766 088","254 551","3.63s","<0.01s","3.21s","8101","-","628 MB","✓","Jan 9, 07:06 AM"
"Backward-Facing Step","GPU","766 088","254 551","3.62s","<0.01s","3.20s","8101","-","1.12 GB","✓","Jan 9, 07:06 AM"
"Backward-Facing Step","GPU","766 088","254 551","3.58s","<0.01s","3.16s","8098","-","628 MB","✓","Jan 9, 07:06 AM"
"T-Junction","GPU","1 291 289","429 176","6.88s","<0.01s","6.16s","11 226","52 MB","1.11 GB","✓","Jan 9, 07:06 AM"
"T-Junction","GPU","1 291 289","429 176","6.85s","<0.01s","6.13s","11 233","52 MB","1.11 GB","✓","Jan 9, 07:06 AM"
"T-Junction","GPU","1 291 289","429 176","6.88s","<0.01s","6.16s","11 233","52 MB","1.11 GB","✓","Jan 9, 07:06 AM"
